Question,A,B,C,D,Answer
Who is widely considered the 'Father of Computers'?,Alan Turing,Charles Babbage,John von Neumann,Bill Gates,B
What does 'RAM' stand for in computer terminology?,Read Access Memory,Random Access Memory,Run Action Mechanism,Rapid Allocation Memory,B
What is the main operating system developed by Apple for its smartphones?,Android,Windows Mobile,iOS,macOS,C
Which programming language is best known for its use in web page interactivity?,Python,Java,C++,JavaScript,D
What does 'HTTP' stand for in web addresses?,Hypertext Transfer Protocol,Hypertext Topology Program,High Transfer Tech Protocol,Hyperlink Total Transfer Program,A
Which computer component is known as the 'Brain' of the machine?,RAM,Hard Drive,CPU,Motherboard,C
What is the smallest unit of digital data?,Byte,Bit,Kilobyte,Nibble,B
Which of these is an example of an open-source operating system?,Windows 11,macOS,Linux,iOS,C
What type of software is designed to protect computers from malware?,Firmware,Antivirus,Spyware,Shareware,B
Which network protocol is used to securely log into another computer over a network?,FTP,SMTP,SSH,HTTP,C
What does 'SQL' stand for in database management?,Structured Query Language,Sequential Query Line,Standard Query Logic,System Query Layout,A
Which technology is used to make phone calls over the internet?,VoIP,VPN,VGA,VOD,A
What is the primary function of a router?,To store data files,To forward data packets between networks,To display graphic layouts,To compile software code,B
Which company developed the Java programming language originally?,Microsoft,Apple,Sun Microsystems,IBM,C
What does 'URL' stand for?,Uniform Resource Locator,Universal Resource Link,Unified Request Line,User Response Location,A
Which binary number represents the decimal value 5?,100,101,110,111,B
What is the purpose of a Firewall?,To speed up internet connection,To filter network traffic and block unauthorized access,To cool down the server room,To backup delete logs,B
Which of the following is a non-volatile storage device?,RAM,Cache Memory,Hard Disk Drive,Registers,C
What type of file extension is typically used for Python scripts?,.py,.pt,.pn,.pi,A
Who co-founded Microsoft alongside Bill Gates?,Steve Jobs,Paul Allen,Steve Wozniak,Larry Page,B
What is the capital city of the Indian state of Maharashtra?,Nagpur,Mumbai,Pune,Nashik,A
What is the capital city of the Indian state of Karnataka?,Bengaluru,Hubli,Mangalore,Mysore,C
What is the capital city of the Indian state of Tamil Nadu?,Trichy,Madurai,Coimbatore,Chennai,D
What is the capital city of the Indian state of West Bengal?,Darjeeling,Siliguri,Asansol,Kolkata,B
What is the capital city of the Indian state of Telangana?,Nizamabad,Hyderabad,Karimnagar,Warangal,B
What is the capital city of the Indian state of Gujarat?,Surat,Rajkot,Ahmedabad,Gandhinagar,D
What is the capital city of the Indian state of Kerala?,Kochi,Kozhikode,Thiruvananthapuram,Thrissur,B
What is the capital city of the Indian state of Punjab?,Chandigarh,Amritsar,Ludhiana,Jalandhar,A
What is the capital city of the Indian state of Bihar?,Gaya,Muzaffarpur,Patna,Bhagalpur,B
What is the capital city of the Indian state of Uttar Pradesh?,Varanasi,Lucknow,Kanpur,Agra,A
What is the capital city of the Indian state of Rajasthan?,Jodhpur,Udaipur,Jaipur,Kota,C
What is the capital city of the Indian state of Madhya Pradesh?,Gwalior,Indore,Jabalpur,Bhopal,A
What is the capital city of the Indian state of Assam?,Guwahati,Dibrugarh,Silchar,Dispur,B
What is the capital city of the Indian state of Odisha?,Puri,Bhubaneswar,Rourkela,Cuttack,A
What is the capital city of the Indian state of Andhra Pradesh?,Guntur,Vijayawada,Amaravati,Visakhapatnam,C
What is the capital city of the Indian state of Haryana?,Gurugram,Ambala,Faridabad,Chandigarh,D
What is the capital city of the Indian state of Goa?,Mapusa,Vasco da Gama,Margao,Panaji,B
What is the capital city of the Indian state of Himachal Pradesh?,Manali,Solan,Shimla,Dharamshala,C
What is the capital city of the Indian state of Uttarakhand?,Dehradun,Nainital,Haridwar,Rishikesh,B
What is the capital city of the Indian state of Jharkhand?,Bokaro,Jamshedpur,Dhanbad,Ranchi,C
"In Chemistry, what is the official periodic table symbol for the element Hydrogen?",Ca,Fe,H,Co,C
"In Chemistry, what is the official periodic table symbol for the element Helium?",Br,N,Li,He,D
"In Chemistry, what is the official periodic table symbol for the element Lithium?",Au,Sn,Li,P,C
"In Chemistry, what is the official periodic table symbol for the element Beryllium?",Be,Mg,Na,I,A
"In Chemistry, what is the official periodic table symbol for the element Boron?",P,Br,B,Ca,C
"In Chemistry, what is the official periodic table symbol for the element Carbon?",C,Hg,P,U,A
"In Chemistry, what is the official periodic table symbol for the element Nitrogen?",I,Zn,N,Cu,C
"In Chemistry, what is the official periodic table symbol for the element Oxygen?",O,Br,C,P,A
"In Chemistry, what is the official periodic table symbol for the element Fluorine?",C,F,Ar,Na,B
"In Chemistry, what is the official periodic table symbol for the element Neon?",Be,O,Ne,Br,C
"In Chemistry, what is the official periodic table symbol for the element Sodium?",Al,Pu,U,Na,D
"In Chemistry, what is the official periodic table symbol for the element Magnesium?",Mg,N,I,P,A
"In Chemistry, what is the official periodic table symbol for the element Aluminum?",Zn,Al,Sn,B,B
"In Chemistry, what is the official periodic table symbol for the element Silicon?",Si,K,Al,C,A
"In Chemistry, what is the official periodic table symbol for the element Phosphorus?",P,Ag,Br,N,A
"In Chemistry, what is the official periodic table symbol for the element Sulfur?",K,U,S,Sn,C
"In Chemistry, what is the official periodic table symbol for the element Chlorine?",H,Be,Cl,O,C
"In Chemistry, what is the official periodic table symbol for the element Argon?",Na,Ar,Au,B,B
"In Chemistry, what is the official periodic table symbol for the element Potassium?",Ag,Fe,K,Br,C
"In Chemistry, what is the official periodic table symbol for the element Calcium?",Zn,Br,N,Ca,D
"In Chemistry, what is the official periodic table symbol for the element Iron?",Zn,K,Br,Fe,D
"In Chemistry, what is the official periodic table symbol for the element Copper?",O,Si,Cu,Ar,C
"In Chemistry, what is the official periodic table symbol for the element Silver?",Ni,Ag,He,P,B
"In Chemistry, what is the official periodic table symbol for the element Gold?",Cl,Ni,Au,Pb,C
"In Chemistry, what is the official periodic table symbol for the element Mercury?",Hg,N,K,P,A
"In Chemistry, what is the official periodic table symbol for the element Lead?",Pb,F,Br,Ag,A
"In Chemistry, what is the official periodic table symbol for the element Tin?",B,Sn,Pu,Na,B
"In Chemistry, what is the official periodic table symbol for the element Zinc?",Pt,Zn,Co,Na,B
"In Chemistry, what is the official periodic table symbol for the element Nickel?",K,I,H,Ni,D
"In Chemistry, what is the official periodic table symbol for the element Platinum?",Li,Ne,Pt,Co,C
"In Chemistry, what is the official periodic table symbol for the element Uranium?",B,U,Pu,Fe,B
"In Chemistry, what is the official periodic table symbol for the element Plutonium?",U,Pu,C,Pt,B
"In Chemistry, what is the official periodic table symbol for the element Iodine?",Au,I,O,H,B
"In Chemistry, what is the official periodic table symbol for the element Bromine?",Br,Pu,K,O,A
"In Chemistry, what is the official periodic table symbol for the element Cobalt?",U,H,Pu,Co,D
"In computer storage systems, which file extension is typically used for a Python Script?",.pt,.pyc,.py,.p,C
"In computer storage systems, which file extension is typically used for a Hypertext Markup Language?",.ht,.html,.htm,.hl,B
"In computer storage systems, which file extension is typically used for a Cascading Style Sheets?",.style,.c,.cs,.css,D
"In computer storage systems, which file extension is typically used for a JavaScript File?",.js,.j,.java,.script,A
"In computer storage systems, which file extension is typically used for a Portable Document Format?",.pd,.pf,.pdf,.doc,C
"In computer storage systems, which file extension is typically used for a Executable Application file?",.app,.exe,.ex,.run,B
"In computer storage systems, which file extension is typically used for a Compressed ZIP Archive?",.rar,.zi,.arc,.zip,D
"In computer storage systems, which file extension is typically used for a Plain Text Document?",.doc,.text,.tx,.txt,D
"In computer storage systems, which file extension is typically used for a JPEG Image File?",.img,.jpg,.jp,.jepg,B
"In computer storage systems, which file extension is typically used for a PNG Raster Image?",.gif,.pn,.pimg,.png,D
Which of the following is an example of an input device in a computer system (Variant 1)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 1)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 1)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 1)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 1)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 2)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 2)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 2)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 2)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 2)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 3)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 3)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 3)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 3)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 3)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 4)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 4)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 4)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 4)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 4)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 5)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 5)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 5)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 5)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 5)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 6)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 6)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 6)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 6)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 6)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 7)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 7)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 7)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 7)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 7)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 8)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 8)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 8)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 8)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 8)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 9)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 9)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 9)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 9)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 9)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 10)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 10)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 10)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 10)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 10)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 11)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 11)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 11)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 11)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 11)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 12)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 12)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 12)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 12)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 12)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 13)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 13)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 13)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 13)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 13)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 14)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 14)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 14)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 14)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 14)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 15)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 15)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 15)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 15)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 15)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 16)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 16)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 16)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 16)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 16)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 17)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 17)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 17)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 17)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 17)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 18)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 18)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 18)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 18)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 18)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 19)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 19)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 19)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 19)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 19)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 20)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 20)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 20)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 20)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 20)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 21)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 21)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 21)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 21)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 21)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 22)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 22)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 22)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 22)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 22)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 23)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 23)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 23)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 23)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 23)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 24)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 24)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 24)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 24)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 24)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 25)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 25)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 25)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 25)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 25)?,Gas,Plasma,Solid,Liquid,C
Which of the following is an example of an input device in a computer system (Variant 26)?,Monitor,Printer,Keyboard,Speaker,C
Which of the following is considered an output device for a computer (Variant 26)?,Mouse,Microphone,Monitor,Scanner,C
What is the basic unit of frequency in the physical sciences (Variant 26)?,Joule,Watt,Hertz,Newton,C
Which human organ is primarily responsible for filtering waste from the bloodstream (Variant 26)?,Lungs,Stomach,Kidneys,Heart,C
Which fundamental state of matter has a fixed shape and a fixed volume (Variant 26)?,Gas,Plasma,Solid,Liquid,C
